countryCode,genus,species,decimalLongitude,decimalLatitude
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814
FR,Xylotrechus,Xylotrechus arvicola,4.8403,44.999
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498
FR,Xylotrechus,Xylotrechus arvicola,3.45232,46.00382
FR,Xylotrechus,Xylotrechus arvicola,2.477392,50.796848
NL,Xylotrechus,Xylotrechus arvicola,5.75,51
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.3
FR,Xylotrechus,Xylotrechus arvicola,2.52019,49.15379
FR,Xylotrechus,Xylotrechus arvicola,0.209885,44.048435
FR,Xylotrechus,Xylotrechus arvicola,2.65486,49.51382
FR,Xylotrechus,Xylotrechus arvicola,2.52019,49.15379
FR,Xylotrechus,Xylotrechus arvicola,-0.52602,47.5721
FR,Xylotrechus,Xylotrechus arvicola,3.0232,42.53014
FR,Xylotrechus,Xylotrechus arvicola,2.74789,48.44955
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498
FR,Xylotrechus,Xylotrechus arvicola,2.93104,49.42441
FR,Xylotrechus,Xylotrechus arvicola,2.93104,49.42441
FR,Xylotrechus,Xylotrechus arvicola,-0.45526,44.41987
FR,Xylotrechus,Xylotrechus arvicola,2.462407,48.852065
FR,Xylotrechus,Xylotrechus arvicola,1.32273,45.84467
FR,Xylotrechus,Xylotrechus arvicola,1.97728,48.88063
FR,Xylotrechus,Xylotrechus arvicola,2.39878,47.80383
FR,Xylotrechus,Xylotrechus arvicola,1.26142,45.81124
RS,Xylotrechus,Xylotrechus arvicola,19.932075,44.248046
FR,Xylotrechus,Xylotrechus arvicola,5.25713,45.89215
FR,Xylotrechus,Xylotrechus arvicola,2.37989,49.42285
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498
FR,Xylotrechus,Xylotrechus arvicola,-0.56176,43.0899
FR,Xylotrechus,Xylotrechus arvicola,3.55868,43.75257
DE,Xylotrechus,Xylotrechus arvicola,7.17,50.552
NL,Xylotrechus,Xylotrechus arvicola,5.9,50.8
NL,Xylotrechus,Xylotrechus arvicola,5.75,51.7
DE,Xylotrechus,Xylotrechus arvicola,12.266235,51.659351
FR,Xylotrechus,Xylotrechus arvicola,2.44407,48.85958
FR,Xylotrechus,Xylotrechus arvicola,2.65486,49.51382
FR,Xylotrechus,Xylotrechus arvicola,7.34484,47.81488
FR,Xylotrechus,Xylotrechus arvicola,3.6002,47.71383
FR,Xylotrechus,Xylotrechus arvicola,-1.10856,44.75801
